cosine (COM),scatter angle (COM),sine (COM),tan (COM),cos + 1/A,ratio,scatter angle (LAB),E= 1 MeV - angular differential XS (b/sr),E=1 eV - Angular  differential XS (b/sr),E=1 MeV - angular distribution (1/sr),E=1 eV - Angular distribution (1/sr),1 MeV cross section (barn),Ef/Ei
0.44,63.89611886,0.897997773,0.014054027,1.44,0.623609564,31.94805943,0.337578243,1.6468502,0.499527373,0.499999999,1.479738056,0.72
0.45,63.25631605,0.893028555,0.014117619,1.45,0.615881762,31.62815802,0.337570332,1.6468502,0.499515667,0.499999999,1.479738056,0.725
0.46,62.6128925,0.887918915,0.014181088,1.46,0.608163641,31.30644625,0.33756241,1.6468502,0.499503944,0.499999999,1.479738056,0.73
0.47,61.96570347,0.882666415,0.014244435,1.47,0.600453343,30.98285173,0.337554477,1.6468502,0.499492205,0.499999999,1.479738056,0.735
0.48,61.31459799,0.877268488,0.014307661,1.48,0.592748978,30.65729899,0.337546532,1.646850199,0.49948045,0.499999999,1.479738056,0.74
0.49,60.65941842,0.871722433,0.014370768,1.49,0.585048613,30.32970921,0.337538577,1.646850199,0.499468678,0.499999999,1.479738056,0.745
0.5,60,0.866025404,0.014433757,1.5,0.577350269,30,0.337530611,1.646850199,0.49945689,0.499999999,1.479738056,0.75
0.51,59.33617026,0.860174401,0.014496628,1.51,0.569651921,29.66808513,0.337522634,1.646850199,0.499445086,0.499999999,1.479738056,0.755
0.52,58.6677485,0.85416626,0.014559384,1.52,0.561951487,29.33387425,0.337514645,1.646850199,0.499433265,0.499999999,1.479738056,0.76
0.53,57.99454517,0.847997642,0.014622024,1.53,0.554246825,28.99727259,0.337506646,1.646850199,0.499421428,0.499999999,1.479738056,0.765
0.54,57.31636115,0.841665017,0.014684551,1.54,0.546535725,28.65818058,0.337498635,1.646850199,0.499409574,0.499999999,1.479738056,0.77
0.55,56.63298703,0.835164654,0.014746965,1.55,0.538815906,28.31649352,0.337490613,1.646850199,0.499397704,0.499999999,1.479738056,0.775
0.56,55.94420226,0.828492607,0.014809267,1.56,0.531085005,27.97210113,0.33748258,1.646850199,0.499385817,0.499999999,1.479738056,0.78
0.57,55.24977425,0.821644692,0.014871458,1.57,0.523340568,27.62488712,0.337474536,1.646850199,0.499373914,0.499999999,1.479738056,0.785
0.58,54.54945736,0.814616474,0.014933539,1.58,0.515580047,27.27472868,0.337466481,1.646850199,0.499361995,0.499999999,1.479738056,0.79
0.59,53.8429918,0.807403245,0.014995512,1.59,0.507800783,26.9214959,0.337458415,1.646850199,0.499350059,0.499999999,1.479738056,0.795
0.6,53.13010235,0.8,0.015057377,1.6,0.5,26.56505118,0.337450338,1.646850198,0.499338107,0.499999999,1.479738056,0.8
0.61,52.41049704,0.792401413,0.015119136,1.61,0.492174791,26.20524852,0.337442249,1.646850198,0.499326138,0.499999999,1.479738056,0.805
0.62,51.68386553,0.78460181,0.015180788,1.62,0.484322105,25.84193276,0.33743415,1.646850198,0.499314152,0.499999999,1.479738056,0.81
0.63,50.94987746,0.776595133,0.015242336,1.63,0.476438732,25.47493873,0.337426039,1.646850198,0.499302151,0.499999998,1.479738056,0.815
0.64,50.2081805,0.768374908,0.015303779,1.64,0.468521286,25.10409025,0.337417917,1.646850198,0.499290132,0.499999998,1.479738056,0.82
0.65,49.45839813,0.759934208,0.01536512,1.65,0.460566186,24.72919906,0.337409784,1.646850198,0.499278097,0.499999998,1.479738056,0.825
0.66,48.70012721,0.751265599,0.015426358,1.66,0.452569638,24.3500636,0.337401639,1.646850198,0.499266046,0.499999998,1.479738056,0.83
0.67,47.9329352,0.742361098,0.015487495,1.67,0.444527604,23.9664676,0.337393484,1.646850198,0.499253978,0.499999998,1.479738056,0.835
0.68,47.15635696,0.733212111,0.015548532,1.68,0.43643578,23.57817848,0.337385317,1.646850198,0.499241893,0.499999998,1.479738056,0.84
0.69,46.36989113,0.723809367,0.015609469,1.69,0.428289566,23.18494557,0.337377139,1.646850198,0.499229792,0.499999998,1.479738056,0.845
0.7,45.572996,0.714142843,0.015670307,1.7,0.420084025,22.786498,0.33736895,1.646850198,0.499217674,0.499999998,1.479738056,0.85
0.71,44.76508467,0.704201676,0.015731048,1.71,0.411813845,22.38254234,0.33736075,1.646850198,0.49920554,0.499999998,1.479738056,0.855
0.72,43.94551956,0.693974063,0.015791691,1.72,0.403473292,21.97275978,0.337352538,1.646850198,0.499193389,0.499999998,1.479738056,0.86
0.73,43.11360595,0.683447145,0.015852238,1.73,0.395056153,21.55680297,0.337344315,1.646850197,0.499181221,0.499999998,1.479738056,0.865
0.74,42.26858443,0.672606869,0.01591269,1.74,0.386555672,21.13429221,0.337336081,1.646850197,0.499169037,0.499999998,1.479738056,0.87
0.75,41.40962211,0.661437828,0.015973047,1.75,0.377964473,20.70481105,0.337327836,1.646850197,0.499156836,0.499999998,1.479738056,0.875
0.76,40.53580211,0.649923072,0.01603331,1.76,0.369274473,20.26790106,0.337319579,1.646850197,0.499144619,0.499999998,1.479738056,0.88
0.77,39.64611115,0.638043886,0.01609348,1.77,0.360476772,19.82305557,0.337311312,1.646850197,0.499132385,0.499999998,1.479738056,0.885
0.78,38.7394246,0.625779514,0.016153557,1.78,0.351561525,19.3697123,0.337303033,1.646850197,0.499120134,0.499999998,1.479738056,0.89
0.79,37.81448851,0.613106842,0.016213543,1.79,0.342517789,18.90724425,0.337294742,1.646850197,0.499107866,0.499999998,1.479738056,0.895
