cosine (COM),scatter angle (COM),sine (COM),tan (COM),cos + 1/A,ratio,scatter angle (LAB),E= 1 MeV - angular differential XS (b/sr),E=1 eV - Angular  differential XS (b/sr),E=1 MeV - angular distribution (1/sr),E=1 eV - Angular distribution (1/sr),1 MeV cross section (barn),Ef/Ei
0.8,36.86989765,0.6,0.016273438,1.8,0.333333333,18.43494882,0.337286441,1.646850197,0.499095582,0.499999998,1.479738056,0.9
0.81,35.90406858,0.586429876,0.016333243,1.81,0.323994407,17.95203429,0.337278128,1.646850197,0.499083281,0.499999998,1.479738056,0.905
0.82,34.91520625,0.572363521,0.016392958,1.82,0.314485451,17.45760312,0.337269804,1.646850197,0.499070964,0.499999998,1.479738056,0.91
0.83,33.901262,0.557763391,0.016452585,1.83,0.304788738,16.950631,0.337261468,1.646850197,0.49905863,0.499999998,1.479738056,0.915
0.84,32.85988038,0.542586399,0.016512123,1.84,0.294883912,16.42994019,0.337253122,1.646850197,0.499046279,0.499999998,1.479738056,0.92
0.85,31.78833062,0.526782688,0.016571574,1.85,0.284747399,15.89416531,0.337244764,1.646850197,0.499033911,0.499999998,1.479738056,0.925
0.86,30.68341711,0.510294033,0.016630939,1.86,0.274351631,15.34170855,0.337236394,1.646850196,0.499021527,0.499999998,1.479738056,0.93
0.87,29.5413605,0.493051721,0.016690217,1.87,0.263664022,14.77068025,0.337228014,1.646850196,0.499009125,0.499999998,1.479738056,0.935
0.88,28.35763658,0.474973683,0.01674941,1.88,0.252645576,14.17881829,0.337219622,1.646850196,0.498996707,0.499999998,1.479738056,0.94
0.89,27.12675312,0.455960525,0.016808518,1.89,0.241248955,13.56337656,0.337211218,1.646850196,0.498984273,0.499999998,1.479738056,0.945
0.9,25.84193276,0.435889894,0.016867542,1.9,0.229415734,12.92096638,0.337202804,1.646850196,0.498971821,0.499999998,1.479738056,0.95
0.91,24.49464847,0.414608249,0.016926483,1.91,0.217072382,12.24732424,0.337194378,1.646850196,0.498959353,0.499999998,1.479738056,0.955
0.92,23.07391807,0.391918359,0.016985341,1.92,0.204124145,11.53695903,0.33718594,1.646850196,0.498946868,0.499999998,1.479738056,0.96
0.93,21.56518502,0.367559519,0.017044116,1.93,0.190445347,10.78259251,0.337177492,1.646850196,0.498934366,0.499999998,1.479738056,0.965
0.94,19.94844359,0.341174442,0.01710281,1.94,0.175863115,9.974221794,0.337169032,1.646850196,0.498921847,0.499999998,1.479738056,0.97
0.95,18.19487234,0.3122499,0.017161423,1.95,0.160128154,9.097436169,0.33716056,1.646850196,0.498909312,0.499999998,1.479738056,0.975
0.96,16.26020471,0.28,0.017219955,1.96,0.142857143,8.130102354,0.337152077,1.646850196,0.498896759,0.499999998,1.479738056,0.98
0.97,14.06986775,0.243104916,0.017278408,1.97,0.12340351,7.034933874,0.337143583,1.646850196,0.49888419,0.499999998,1.479738056,0.985
0.98,11.47834095,0.198997487,0.017336781,1.98,0.100503782,5.739170477,0.337135077,1.646850195,0.498871604,0.499999998,1.479738056,0.99
0.99,8.109614456,0.14106736,0.017395076,1.99,0.070888121,4.054807228,0.33712656,1.646850195,0.498859001,0.499999998,1.479738056,0.995
1,0,0,#DIV/0!,2,0,0,0.337118032,1.646850195,0.498846381,0.499999998,1.479738056,1
