cosine (COM),scatter angle (COM),sine (COM),tan (COM),cos + 1/A,ratio,scatter angle (LAB),E= 1MeV - angular distribution (1/sr),E=109.93 eV - Angular distribution (1/sr),E= 1MeV - angular differential XS (b/sr),E=100 eV - Angular differential XS (b/sr)2,1 MeV cross section (barn),100 eV cross section,Ef/Ei
0.18,79.63024019,0.98366661,0.012352928,0.2425,4.056357155,76.15121286,0.086835124,0.499991809,0.112675664,0.306514166,1.297581657,0.613038374,0.59
0.19,79.0472158,0.98178409,0.012420224,0.2525,3.888253823,75.57696978,0.092051323,0.499991354,0.119444109,0.306513912,1.297581657,0.613038424,0.595
0.2,78.46304097,0.979795897,0.012487356,0.2625,3.732555799,75.00193796,0.097543643,0.499990899,0.126570842,0.306513658,1.297581657,0.613038474,0.6
0.21,77.87764776,0.977701386,0.012554326,0.2725,3.587894994,74.42605108,0.103312098,0.499990444,0.134055883,0.306513404,1.297581657,0.613038525,0.605
0.22,77.29096701,0.975499872,0.012621137,0.2825,3.453096892,73.84924175,0.109356704,0.499989989,0.141899253,0.306513151,1.297581657,0.613038575,0.61
0.23,76.70292825,0.973190629,0.01268779,0.2925,3.327147449,73.2714414,0.115677477,0.499989534,0.150100972,0.306512897,1.297581657,0.613038626,0.615
0.24,76.11345964,0.970772888,0.012754287,0.3025,3.209166572,72.69258023,0.122274431,0.499989079,0.158661059,0.306512643,1.297581657,0.613038676,0.62
0.25,75.52248781,0.968245837,0.01282063,0.3125,3.098386677,72.11258708,0.129147584,0.499988624,0.167579536,0.306512389,1.297581657,0.613038726,0.625
0.26,74.92993786,0.965608616,0.01288682,0.3225,2.994135245,71.53138938,0.136296951,0.499988169,0.176856423,0.306512136,1.297581657,0.613038777,0.63
0.27,74.33573315,0.962860322,0.01295286,0.3325,2.895820518,70.94891304,0.143722547,0.499987714,0.18649174,0.306511882,1.297581657,0.613038827,0.635
0.28,73.73979529,0.96,0.013018751,0.3425,2.802919708,70.36508232,0.151424389,0.499987259,0.19648551,0.306511628,1.297581657,0.613038878,0.64
0.29,73.14204398,0.957026645,0.013084494,0.3525,2.714969207,69.77981978,0.159402493,0.499986804,0.206837752,0.306511374,1.297581657,0.613038928,0.645
