cosine (COM),scatter angle (COM),sine (COM),tan (COM),cos + 1/A,ratio,scatter angle (LAB),E= 1.000069 MeV - angular differential XS (b/sr),E=1 eV - Angular  differential XS (b/sr),E=998 keV - angular distribution (1/sr),E=45.81 keV - Angular ddistribution (1/sr),1 MeV cross section (barn),Ef/Ei
-0.1,95.73917048,0.994987437,0.010392689,-0.082142857,-12.11289054,94.71944666,0.099169569,0.958911123,0.35051063,0.485859444,3.534457523,0.980701754
-0.09,95.16360709,0.995941765,0.010465574,-0.072142857,-13.80513338,94.14308795,0.09871159,0.958911144,0.348285019,0.486360345,3.528309277,0.980877193
-0.08,94.58856574,0.996794864,0.010538217,-0.062142857,-16.04037711,93.56735524,0.098271093,0.958911165,0.346110395,0.48685829,3.521995991,0.981052632
-0.07,94.01398722,0.997546991,0.010610623,-0.052142857,-19.13103819,92.99218902,0.097848711,0.958911186,0.343988927,0.487353267,3.515518223,0.98122807
-0.06,93.43981277,0.998198377,0.010682795,-0.042142857,-23.68606318,92.41753023,0.097445093,0.958911206,0.341922845,0.487845282,3.508876988,0.981403509
-0.05,92.86598398,0.998749218,0.010754737,-0.032142857,-31.07219789,91.84332021,0.097060901,0.958911227,0.339914437,0.488334356,3.502073782,0.981578947
-0.04,92.29244278,0.99919968,0.010826452,-0.022142857,-45.12514683,91.26950065,0.09669681,0.958911247,0.337966045,0.488820527,3.495110605,0.981754386
-0.03,91.71913132,0.999549899,0.010897943,-0.012142857,-82.31587401,90.69601352,0.096353509,0.958911267,0.336080073,0.48930385,3.487989983,0.981929825
-0.02,91.145992,0.99979998,0.010969215,-0.002142857,-466.573324,90.12280105,0.096031701,0.958911288,0.33425898,0.489784393,3.480714991,0.982105263
-0.01,90.57296734,0.999949999,0.01104027,0.007857143,127.2663635,89.54980563,0.095732103,0.958911308,0.332505285,0.490262242,3.473289269,0.982280702
0,90,1,0.011111111,0.017857143,56,88.97696981,0.095455445,0.958911327,0.330821563,0.4907375,3.465717041,0.98245614
0.01,89.42703266,0.999949999,0.011181742,0.027857143,35.89564098,88.40423621,0.095202472,0.958911347,0.329210447,0.491210284,3.458003132,0.982631579
0.02,88.854008,0.99979998,0.011252165,0.037857143,26.40981079,87.83154748,0.094973942,0.958911367,0.32767463,0.491680729,3.450152982,0.982807018
0.03,88.28086868,0.999549899,0.011322384,0.047857143,20.88611729,87.25884626,0.094770627,0.958911387,0.326216859,0.492148984,3.442172656,0.982982456
0.04,87.70755722,0.99919968,0.011392401,0.057857143,17.27011792,86.68607509,0.094593311,0.958911406,0.324839943,0.492615215,3.434068851,0.983157895
0.05,87.13401602,0.998749218,0.01146222,0.067857143,14.71840953,86.11317642,0.094442795,0.958911426,0.323546746,0.493079606,3.425848903,0.983333333
0.06,86.56018723,0.998198377,0.011531842,0.077857143,12.82089659,85.5400925,0.094319892,0.958911445,0.322340191,0.493542354,3.417520789,0.983508772
0.07,85.98601278,0.997546991,0.01160127,0.087857143,11.3541934,84.96676535,0.094225427,0.958911464,0.321223257,0.494003673,3.409093123,0.983684211
0.08,85.41143426,0.996794864,0.011670508,0.097857143,10.18622488,84.39313674,0.094160243,0.958911483,0.320198983,0.494463794,3.40057515,0.983859649
0.09,84.83639291,0.995941765,0.011739558,0.107857143,9.233897162,83.81914805,0.094125193,0.958911503,0.319270465,0.494922963,3.391976735,0.984035088
0.1,84.26082952,0.994987437,0.011808422,0.117857143,8.442317648,83.24474032,0.094121146,0.958911522,0.318440858,0.495381444,3.38330835,0.984210526
0.11,83.68468443,0.993931587,0.011877103,0.127857143,7.773766604,82.6698541,0.094148982,0.958911541,0.317713371,0.495839514,3.374581052,0.984385965
0.12,83.10789742,0.992773892,0.011945602,0.137857143,7.201468644,82.09442947,0.094209599,0.95891156,0.317091276,0.496297468,3.365806461,0.984561404
0.13,82.53040768,0.991513994,0.012013923,0.147857143,6.705891746,81.51840591,0.094303905,0.958911579,0.316577899,0.496755618,3.356996727,0.984736842
0.14,81.95215375,0.990151504,0.012082068,0.157857143,6.272452964,80.94172232,0.094432823,0.958911599,0.316176626,0.497214289,3.348164499,0.984912281
0.15,81.37307344,0.988685997,0.012150039,0.167857143,5.890044235,80.36431687,0.094597291,0.958911618,0.315890898,0.497673825,3.339322887,0.985087719
0.16,80.79310378,0.987117014,0.012217838,0.177857143,5.550055502,79.78612701,0.094798259,0.958911637,0.315724217,0.498134584,3.330485414,0.985263158
0.17,80.21218094,0.985444062,0.012285467,0.187857143,5.245709838,79.20708936,0.095036691,0.958911656,0.315680142,0.498596942,3.321665972,0.985438596
0.18,79.63024019,0.98366661,0.012352928,0.197857143,4.971600196,78.62713968,0.095313566,0.958911676,0.315762288,0.49906129,3.312878765,0.985614035
0.19,79.0472158,0.98178409,0.012420224,0.207857143,4.723359885,78.04621275,0.095629876,0.958911695,0.31597433,0.499528035,3.304138258,0.985789474
0.2,78.46304097,0.979795897,0.012487356,0.217857143,4.49742379,77.46424234,0.095986626,0.958911715,0.31632,0.4999976,3.295459113,0.985964912
0.21,77.87764776,0.977701386,0.012554326,0.227857143,4.290852477,76.8811611,0.096384836,0.958911735,0.316803087,0.500470424,3.286856126,0.986140351
0.22,77.29096701,0.975499872,0.012621137,0.237857143,4.101200662,76.29690053,0.096825539,0.958911755,0.317427439,0.500946963,3.278344162,0.986315789
0.23,76.70292825,0.973190629,0.01268779,0.247857143,3.926417523,75.71139083,0.097309782,0.958911775,0.318196962,0.501427688,3.269938086,0.986491228
0.24,76.11345964,0.970772888,0.012754287,0.257857143,3.764770203,75.12456088,0.097838626,0.958911795,0.319115618,0.501913087,3.261652692,0.986666667
